,ra,dec,plx,pmra,pmdec,g_mag,bp_mag,rp_mag,label,g_rp,bp_g,bp_rp
13538,2.412,0.438,11.158,107.2,-135.8,16.44,16.41,16.453,0,-0.0129999999999981,-0.0300000000000011,-0.0429999999999992
46186,2.294,0.524,23.737,-162.2,-278.7,18.869,19.263,18.25,1,0.6189999999999998,0.3940000000000019,1.0130000000000017
89077,2.451,0.551,11.751,467.0,-896.3,19.514,19.891,18.954,2,0.5599999999999987,0.3769999999999989,0.9369999999999976
80942,5.612,-0.323,16.939,209.4,-713.4,18.832,19.352,18.166,2,0.6660000000000004,0.5199999999999996,1.186
45257,0.608,0.786,19.273,314.8,30.0,19.052,19.503,18.309,1,0.7429999999999986,0.4510000000000005,1.193999999999999
98609,3.159,0.033,15.187,-711.5,-558.8,19.403,19.844,18.707,2,0.695999999999998,0.4410000000000025,1.1370000000000005
86537,4.088,-0.878,15.682,-927.0,-270.4,19.381,20.068,18.605,2,0.7759999999999998,0.6870000000000012,1.463000000000001
30437,2.095,0.247,19.725,-18.9,-189.4,18.675,19.213,18.006,0,0.6690000000000005,0.5380000000000003,1.2070000000000007
40521,5.989,0.242,13.405,167.0,105.9,19.187,19.746,18.587,1,0.6000000000000014,0.5589999999999975,1.158999999999999
32384,5.78,-0.219,11.382,14.9,-61.8,18.274,18.482,17.953,0,0.3210000000000015,0.2079999999999984,0.5289999999999999
36285,5.385,-0.662,10.711,-78.6,-193.3,17.763,17.88,17.469,1,0.2940000000000005,0.1169999999999973,0.4109999999999978
97468,3.854,-0.016,18.525,-645.8,-971.1,19.634,20.299,18.929,2,0.7050000000000018,0.6649999999999991,1.370000000000001
10427,5.505,0.519,15.525,105.0,219.3,17.779,18.012,17.327,0,0.4519999999999982,0.2330000000000005,0.6849999999999987
18800,2.785,0.289,12.985,-77.8,-178.6,19.009,19.445,18.402,0,0.6069999999999993,0.4359999999999999,1.0429999999999993
83905,5.55,1.102,16.166,-158.2,-140.7,19.217,19.984,18.508,2,0.7089999999999996,0.767000000000003,1.4760000000000026
77817,2.855,-0.515,14.863,-287.0,-205.7,18.969,19.395,18.216,2,0.7530000000000001,0.4259999999999984,1.1789999999999985
39006,0.166,-0.438,16.617,-46.6,-66.1,19.402,20.033,18.717,1,0.6850000000000023,0.6310000000000002,1.3160000000000025
81299,2.549,0.28,16.72,-651.3,-1001.3,15.221,15.206,15.247,2,-0.0259999999999998,-0.0150000000000005,-0.0410000000000003
51952,5.785,0.801,16.597,-119.9,-266.6,19.134,19.617,18.37,1,0.7639999999999993,0.4830000000000005,1.247
40115,0.616,0.343,11.467,-49.3,-37.8,18.104,18.305,17.716,1,0.3879999999999981,0.2010000000000005,0.5889999999999986
44109,5.973,-0.389,15.563,281.4,-313.5,19.712,20.226,19.051,1,0.6610000000000014,0.5139999999999993,1.1750000000000007
35643,6.049,-0.004,10.925,17.7,65.0,19.348,19.622,18.865,0,0.4830000000000005,0.2740000000000009,0.7570000000000014
108939,0.293,-0.628,14.758,-282.2,-970.7,19.392,19.774,18.657,2,0.7349999999999994,0.3820000000000014,1.1170000000000009
99079,5.529,-0.07,12.674,-276.7,-888.2,19.557,20.048,18.819,2,0.7379999999999995,0.4909999999999996,1.2289999999999992
89028,4.115,0.924,11.169,-926.3,-696.8,17.984,18.155,17.613,2,0.3710000000000022,0.1709999999999993,0.5420000000000016
59679,4.199,-0.499,13.324,-33.3,-191.7,19.688,20.181,18.984,1,0.7039999999999971,0.4930000000000021,1.1969999999999992
46941,6.223,0.202,14.905,-236.9,-213.3,16.686,16.776,16.475,1,0.2109999999999985,0.0899999999999998,0.3009999999999984
24486,4.862,-0.242,22.645,-121.2,-227.2,17.646,17.951,17.165,0,0.4810000000000016,0.3049999999999997,0.7860000000000014
30762,1.8,-0.751,11.49,1.5,35.0,19.549,20.094,18.912,0,0.6370000000000005,0.5450000000000017,1.1820000000000022
42545,3.688,-0.815,12.073,-96.5,-86.7,19.5,20.075,18.834,1,0.6660000000000004,0.5749999999999993,1.2409999999999997
65690,5.604,-0.341,33.92,225.3,-232.9,16.664,17.029,16.099,1,0.5650000000000013,0.3649999999999984,0.9299999999999996
101436,0.593,0.904,14.865,1090.4,-185.0,19.857,20.526,19.176,2,0.6810000000000009,0.6690000000000005,1.3500000000000014
40693,4.245,0.195,34.124,237.3,-25.5,17.266,17.763,16.614,1,0.6519999999999975,0.4970000000000034,1.149000000000001
66506,0.68,-0.775,16.31,99.9,49.8,19.206,19.644,18.626,1,0.5799999999999983,0.4379999999999988,1.0179999999999971
59019,0.805,-0.305,29.142,320.5,-220.3,18.036,18.522,17.341,1,0.6950000000000003,0.4859999999999971,1.1809999999999974
21178,5.621,-0.814,10.076,-62.9,-20.0,19.382,19.723,18.734,0,0.6479999999999997,0.3409999999999975,0.9889999999999972
